Year and Quarter,Topic,Topic Subgroup,Indicator,Race Ethnicity Category,Rate,Unit,Significant
2021 Q4,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",All races and origins,8.52,per 100 births,
2021 Q4,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Hispanic,7.82,per 100 births,
2021 Q4,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic Black,14.66,per 100 births,
2021 Q4,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic White,7.03,per 100 births,
2021 Q4,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),All races and origins,2.81,per 100 births,
2021 Q4,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Hispanic,2.67,per 100 births,
2021 Q4,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic Black,4.95,per 100 births,
2021 Q4,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic White,2.31,per 100 births,
2021 Q4,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),All races and origins,7.67,per 100 births,
2021 Q4,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Hispanic,7.57,per 100 births,
2021 Q4,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic Black,9.80,per 100 births,
2021 Q4,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic White,7.18,per 100 births,
2021 Q4,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),All races and origins,10.49,per 100 births,
2021 Q4,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Hispanic,10.23,per 100 births,
2021 Q4,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic Black,14.75,per 100 births,
2021 Q4,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic White,9.50,per 100 births,
2021 Q4,Gestational Age,Term Birth Rates,Early term (37-38 weeks),All races and origins,28.76,per 100 births,
2021 Q4,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Hispanic,29.83,per 100 births,
2021 Q4,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic Black,32.27,per 100 births,
2021 Q4,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic White,27.04,per 100 births,
2021 Q4,Gestational Age,Term Birth Rates,Full term (39-40 weeks),All races and origins,55.90,per 100 births,
2021 Q4,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Hispanic,55.62,per 100 births,
2021 Q4,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic Black,49.28,per 100 births,
2021 Q4,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic White,57.93,per 100 births,
2021 Q4,Gestational Age,Term Birth Rates,Late term (41 weeks),All races and origins,4.85,per 100 births,
2021 Q4,Gestational Age,Term Birth Rates,Late term (41 weeks),Hispanic,4.32,per 100 births,
2021 Q4,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic Black,3.70,per 100 births,
2021 Q4,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic White,5.54,per 100 births,
2021 Q4,Method of Delivery,Cesarean Delivery Rates,Cesarean,All races and origins,32.10,per 100 births,
2021 Q4,Method of Delivery,Cesarean Delivery Rates,Cesarean,Hispanic,31.60,per 100 births,
2021 Q4,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic Black,36.80,per 100 births,
2021 Q4,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic White,31.00,per 100 births,
2021 Q4,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,All races and origins,26.30,per 100 births,
2021 Q4,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Hispanic,25.50,per 100 births,
2021 Q4,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic Black,31.20,per 100 births,
2021 Q4,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic White,25.20,per 100 births,
2021 Q4,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,All races and origins,14.20,per 100 births,
2021 Q4,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Hispanic,13.50,per 100 births,
2021 Q4,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic Black,13.80,per 100 births,
2021 Q4,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic White,14.40,per 100 births,
2021 Q4,NICU Admission,NICU Admission Rates,NICU Admission,All races and origins,9.60,per 100 births,
2021 Q4,NICU Admission,NICU Admission Rates,NICU Admission,Hispanic,8.90,per 100 births,
2021 Q4,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic Black,13.00,per 100 births,
2021 Q4,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic White,9.10,per 100 births,
2021 Q4,Source of Payment for the Delivery,Medicaid,Medicaid,All races and origins,41.00,per 100 births,
2021 Q4,Source of Payment for the Delivery,Medicaid,Medicaid,Hispanic,58.10,per 100 births,
2021 Q4,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic Black,64.00,per 100 births,
2021 Q4,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic White,28.10,per 100 births,
2021 Q3,Birth Rates,Age-specific Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,15-19 years,All races and origins,14.10,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,15-19 years,Hispanic,21.40,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,22.30,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic White,9.50,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,20-24 years,All races and origins,61.50,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,20-24 years,Hispanic,81.60,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,79.90,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic White,52.00,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,25-29 years,All races and origins,91.80,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,25-29 years,Hispanic,105.90,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,91.90,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic White,90.60,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,30-34 years,All races and origins,95.90,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,30-34 years,Hispanic,94.80,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,79.00,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic White,100.60,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,35-39 years,All races and origins,52.20,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,35-39 years,Hispanic,53.40,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic Black,47.40,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic White,51.30,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,40-44 years,All races and origins,11.70,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,40-44 years,Hispanic,14.00,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,12.60,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic White,10.20,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,45+ years,All races and origins,0.90,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,45+ years,Hispanic,0.90,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.10,"per 1,000 population",
2021 Q3,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.80,"per 1,000 population",
2021 Q3,Birth Rates,General Fertility Rates,15-44 years,All races and origins,55.60,"per 1,000 population",
2021 Q3,Birth Rates,General Fertility Rates,15-44 years,Hispanic,62.20,"per 1,000 population",
2021 Q3,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic Black,57.30,"per 1,000 population",
2021 Q3,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic White,53.60,"per 1,000 population",
2021 Q3,Birth Rates,Teen Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2021 Q3,Birth Rates,Teen Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2021 Q3,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2021 Q3,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2021 Q3,Birth Rates,Teen Birth Rates,15-17 years,All races and origins,5.70,"per 1,000 population",
2021 Q3,Birth Rates,Teen Birth Rates,15-17 years,Hispanic,9.40,"per 1,000 population",
2021 Q3,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic Black,9.60,"per 1,000 population",
2021 Q3,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic White,3.20,"per 1,000 population",
2021 Q3,Birth Rates,Teen Birth Rates,18-19 years,All races and origins,26.90,"per 1,000 population",
2021 Q3,Birth Rates,Teen Birth Rates,18-19 years,Hispanic,40.10,"per 1,000 population",
2021 Q3,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic Black,41.20,"per 1,000 population",
2021 Q3,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic White,18.90,"per 1,000 population",
2021 Q3,Birth Rates,Teen Birth Rates,15-19 years,All races and origins,14.10,"per 1,000 population",
2021 Q3,Birth Rates,Teen Birth Rates,15-19 years,Hispanic,21.40,"per 1,000 population",
2021 Q3,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic Black,22.30,"per 1,000 population",
2021 Q3,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic White,9.50,"per 1,000 population",
2021 Q3,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",All races and origins,8.41,per 100 births,
2021 Q3,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Hispanic,7.68,per 100 births,
2021 Q3,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic Black,14.54,per 100 births,
2021 Q3,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic White,6.93,per 100 births,
2021 Q3,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),All races and origins,2.78,per 100 births,
2021 Q3,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Hispanic,2.62,per 100 births,
2021 Q3,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic Black,4.92,per 100 births,
2021 Q3,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic White,2.28,per 100 births,
2021 Q3,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),All races and origins,7.61,per 100 births,
2021 Q3,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Hispanic,7.51,per 100 births,
2021 Q3,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic Black,9.76,per 100 births,
2021 Q3,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic White,7.10,per 100 births,
2021 Q3,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),All races and origins,10.38,per 100 births,
2021 Q3,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Hispanic,10.14,per 100 births,
2021 Q3,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic Black,14.69,per 100 births,
2021 Q3,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic White,9.38,per 100 births,
2021 Q3,Gestational Age,Term Birth Rates,Early term (37-38 weeks),All races and origins,28.57,per 100 births,
2021 Q3,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Hispanic,29.69,per 100 births,
2021 Q3,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic Black,32.15,per 100 births,
2021 Q3,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic White,26.81,per 100 births,
2021 Q3,Gestational Age,Term Birth Rates,Full term (39-40 weeks),All races and origins,56.17,per 100 births,
2021 Q3,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Hispanic,55.85,per 100 births,
2021 Q3,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic Black,49.51,per 100 births,
2021 Q3,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic White,58.21,per 100 births,
2021 Q3,Gestational Age,Term Birth Rates,Late term (41 weeks),All races and origins,4.88,per 100 births,
2021 Q3,Gestational Age,Term Birth Rates,Late term (41 weeks),Hispanic,4.32,per 100 births,
2021 Q3,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic Black,3.65,per 100 births,
2021 Q3,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic White,5.60,per 100 births,
2021 Q3,Method of Delivery,Cesarean Delivery Rates,Cesarean,All races and origins,32.00,per 100 births,
2021 Q3,Method of Delivery,Cesarean Delivery Rates,Cesarean,Hispanic,31.60,per 100 births,
2021 Q3,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic Black,36.80,per 100 births,
2021 Q3,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic White,30.90,per 100 births,
2021 Q3,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,All races and origins,26.20,per 100 births,
2021 Q3,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Hispanic,25.50,per 100 births,
2021 Q3,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic Black,31.10,per 100 births,
2021 Q3,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic White,25.20,per 100 births,
2021 Q3,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,All races and origins,14.10,per 100 births,
2021 Q3,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Hispanic,13.40,per 100 births,
2021 Q3,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic Black,13.70,per 100 births,
2021 Q3,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic White,14.40,per 100 births,
2021 Q3,NICU Admission,NICU Admission Rates,NICU Admission,All races and origins,9.60,per 100 births,
2021 Q3,NICU Admission,NICU Admission Rates,NICU Admission,Hispanic,8.90,per 100 births,
2021 Q3,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic Black,13.00,per 100 births,
2021 Q3,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic White,9.10,per 100 births,
2021 Q3,Source of Payment for the Delivery,Medicaid,Medicaid,All races and origins,41.30,per 100 births,
2021 Q3,Source of Payment for the Delivery,Medicaid,Medicaid,Hispanic,58.30,per 100 births,
2021 Q3,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic Black,64.20,per 100 births,
2021 Q3,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic White,28.60,per 100 births,
2021 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,15-19 years,All races and origins,14.40,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,15-19 years,Hispanic,21.70,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,22.80,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic White,9.60,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,20-24 years,All races and origins,61.70,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,20-24 years,Hispanic,81.50,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,80.70,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic White,52.10,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,25-29 years,All races and origins,91.00,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,25-29 years,Hispanic,104.70,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,92.00,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic White,89.60,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,30-34 years,All races and origins,94.70,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,30-34 years,Hispanic,93.30,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,78.40,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic White,99.20,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,35-39 years,All races and origins,51.40,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,35-39 years,Hispanic,52.80,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic Black,46.70,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic White,50.30,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,40-44 years,All races and origins,11.50,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,40-44 years,Hispanic,13.80,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,12.30,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic White,10.00,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,45+ years,All races and origins,0.90,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,45+ years,Hispanic,0.90,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.10,"per 1,000 population",
2021 Q2,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.70,"per 1,000 population",
2021 Q2,Birth Rates,General Fertility Rates,15-44 years,All races and origins,55.20,"per 1,000 population",
2021 Q2,Birth Rates,General Fertility Rates,15-44 years,Hispanic,61.70,"per 1,000 population",
2021 Q2,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic Black,57.30,"per 1,000 population",
2021 Q2,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic White,53.10,"per 1,000 population",
2021 Q2,Birth Rates,Teen Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2021 Q2,Birth Rates,Teen Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2021 Q2,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2021 Q2,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2021 Q2,Birth Rates,Teen Birth Rates,15-17 years,All races and origins,5.80,"per 1,000 population",
2021 Q2,Birth Rates,Teen Birth Rates,15-17 years,Hispanic,9.70,"per 1,000 population",
2021 Q2,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic Black,9.90,"per 1,000 population",
2021 Q2,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic White,3.20,"per 1,000 population",
2021 Q2,Birth Rates,Teen Birth Rates,18-19 years,All races and origins,27.20,"per 1,000 population",
2021 Q2,Birth Rates,Teen Birth Rates,18-19 years,Hispanic,40.50,"per 1,000 population",
2021 Q2,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic Black,41.70,"per 1,000 population",
2021 Q2,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic White,19.10,"per 1,000 population",
2021 Q2,Birth Rates,Teen Birth Rates,15-19 years,All races and origins,14.40,"per 1,000 population",
2021 Q2,Birth Rates,Teen Birth Rates,15-19 years,Hispanic,21.70,"per 1,000 population",
2021 Q2,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic Black,22.80,"per 1,000 population",
2021 Q2,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic White,9.60,"per 1,000 population",
2021 Q2,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",All races and origins,8.32,per 100 births,
2021 Q2,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Hispanic,7.54,per 100 births,
2021 Q2,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic Black,14.39,per 100 births,
2021 Q2,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic White,6.87,per 100 births,
2021 Q2,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),All races and origins,2.74,per 100 births,
2021 Q2,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Hispanic,2.58,per 100 births,
2021 Q2,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic Black,4.87,per 100 births,
2021 Q2,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic White,2.25,per 100 births,
2021 Q2,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),All races and origins,7.54,per 100 births,
2021 Q2,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Hispanic,7.44,per 100 births,
2021 Q2,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic Black,9.75,per 100 births,
2021 Q2,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic White,7.03,per 100 births,
2021 Q2,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),All races and origins,10.28,per 100 births,
2021 Q2,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Hispanic,10.03,per 100 births,
2021 Q2,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic Black,14.62,per 100 births,
2021 Q2,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic White,9.28,per 100 births,
2021 Q2,Gestational Age,Term Birth Rates,Early term (37-38 weeks),All races and origins,28.35,per 100 births,
2021 Q2,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Hispanic,29.46,per 100 births,
2021 Q2,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic Black,31.90,per 100 births,
2021 Q2,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic White,26.57,per 100 births,
2021 Q2,Gestational Age,Term Birth Rates,Full term (39-40 weeks),All races and origins,56.43,per 100 births,
2021 Q2,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Hispanic,56.12,per 100 births,
2021 Q2,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic Black,49.76,per 100 births,
2021 Q2,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic White,58.49,per 100 births,
2021 Q2,Gestational Age,Term Birth Rates,Late term (41 weeks),All races and origins,4.94,per 100 births,
2021 Q2,Gestational Age,Term Birth Rates,Late term (41 weeks),Hispanic,4.39,per 100 births,
2021 Q2,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic Black,3.72,per 100 births,
2021 Q2,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic White,5.67,per 100 births,
2021 Q2,Method of Delivery,Cesarean Delivery Rates,Cesarean,All races and origins,31.90,per 100 births,
2021 Q2,Method of Delivery,Cesarean Delivery Rates,Cesarean,Hispanic,31.50,per 100 births,
2021 Q2,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic Black,36.70,per 100 births,
2021 Q2,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic White,30.90,per 100 births,
2021 Q2,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,All races and origins,26.10,per 100 births,
2021 Q2,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Hispanic,25.50,per 100 births,
2021 Q2,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic Black,31.10,per 100 births,
2021 Q2,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic White,25.10,per 100 births,
2021 Q2,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,All races and origins,13.90,per 100 births,
2021 Q2,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Hispanic,13.20,per 100 births,
2021 Q2,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic Black,13.60,per 100 births,
2021 Q2,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic White,14.20,per 100 births,
2021 Q2,NICU Admission,NICU Admission Rates,NICU Admission,All races and origins,9.60,per 100 births,
2021 Q2,NICU Admission,NICU Admission Rates,NICU Admission,Hispanic,8.80,per 100 births,
2021 Q2,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic Black,13.00,per 100 births,
2021 Q2,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic White,9.00,per 100 births,
2021 Q2,Source of Payment for the Delivery,Medicaid,Medicaid,All races and origins,41.60,per 100 births,
2021 Q2,Source of Payment for the Delivery,Medicaid,Medicaid,Hispanic,58.40,per 100 births,
2021 Q2,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic Black,64.50,per 100 births,
2021 Q2,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic White,28.90,per 100 births,
2021 Q1,Birth Rates,Age-specific Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2021 Q1,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
